Frage,Option A,Option B,Option C,Option D,Richtige Antwort
Welche drei Verfahren gibt es zur Bedarfsermittlung?,"Deterministisch, stochastisch, heuristisch","Deterministisch, probabilistisch, intuitiv","Stochastisch, probabilistisch, heuristisch","Intuitiv, deterministisch, probabilistisch","Deterministisch, stochastisch, heuristisch"
Welche der folgenden Größen gehört nicht zu einem Bestandsverlauf?,Meldebestand,Sicherheitsbestand,Reorder Level,Wiederbeschaffungszeit,Reorder Level
Was ist das auslösende Moment der Bestellung im Meldebestandsverfahren?,Zeitpunkt,Verbrauch,Bestand,Produktionsmenge,Bestand
Was enthält eine Mengenstückliste?,Alle Bau- und Einzelteile ohne Mengen,Nur die ersten Fertigungsstufen der Endprodukte,Alle Bau- und Einzelteile mit ihren Mengen,Nur die wichtigsten Bauteile,Alle Bau- und Einzelteile mit ihren Mengen
Was stellt ein Gozinto-Graph dar?,Eine Hierarchie der Produktionsschritte,Die Mengenbeziehungen zwischen verschiedenen Komponenten,Eine Zeitachse der Produktion,Den Produktionsfluss,Die Mengenbeziehungen zwischen verschiedenen Komponenten
Welche Bereiche umfasst die Logistik?,"Beschaffungslogistik, Produktionslogistik, Distributionslogistik, Entsorgungslogistik","Beschaffungslogistik, Fertigungslogistik, Verkaufslogistik, Recyclinglogistik","Beschaffungslogistik, Produktionslogistik, Finanzlogistik, Entsorgungslogistik","Distributionslogistik, Verkaufslogistik, Rückführungslogistik, Produktionslogistik","Beschaffungslogistik, Produktionslogistik, Distributionslogistik, Entsorgungslogistik"
Was ist der Unterschied zwischen Logistik und Supply Chain Management (SCM)?,"Logistik bezieht sich nur auf den Transport, SCM umfasst alle Unternehmensbereiche.","Logistik ist auf innerbetriebliche Material- und Informationsflüsse fokussiert, während SCM die Optimierung der gesamten Versorgungskette durch überbetriebliche Zusammenarbeit anstrebt.",Logistik und SCM sind vollständig identisch.,"SCM konzentriert sich ausschließlich auf die Lagerung, während Logistik den gesamten Warenfluss abdeckt.","Logistik ist auf innerbetriebliche Material- und Informationsflüsse fokussiert, während SCM die Optimierung der gesamten Versorgungskette durch überbetriebliche Zusammenarbeit anstrebt."
Welche der folgenden Logistikleistungen ist kein Leistungsziel?,Lieferfähigkeit,Sendungsqualität,Termintreue,Lagerbestandsoptimierung,Lagerbestandsoptimierung
Welche Aussage beschreibt einen Zielkonflikt in der Logistik?,Reduzierung der Bestände bei gleichzeitiger Erhöhung der Lieferfähigkeit.,"Bündelung von Mengen, um Verpackungsaufwand zu minimieren.",Steigerung der Produktionsmenge ohne Anpassung der Lagerkapazitäten.,Alle oben genannten.,Alle oben genannten.
Welche Phase ist im Prozessmodell der Logistik nicht enthalten?,Auftragsabwicklung,CRM,Rückführung,Produktdesign,Produktdesign
Welche Aufgabe gehört zur Distributionslogistik?,Produktionsplanung und -steuerung,Auftragsabwicklung,Einkaufsmanagement,Wareneingangskontrolle,Auftragsabwicklung
Was versteht man unter 'Puffern' in der Lagerlogistik?,Langfristige Lagerung von Produkten zur Verkaufssteigerung,Temporäre Lagerung zur Vermeidung von Unterbrechungen in der Bereitstellkette,Zwischenlagerung von überschüssigen Materialien,Permanente Lagerhaltung für schnelle Verfügbarkeit,Temporäre Lagerung zur Vermeidung von Unterbrechungen in der Bereitstellkette
Welche Funktion wird nicht durch die Verpackung erfüllt?,Schutzfunktion,Identifikationsfunktion,Produktionssteuerungsfunktion,Werbungsfunktion,Produktionssteuerungsfunktion
Welche der folgenden Aussagen trifft auf die Kommissionierung zu?,Kommissionierung umfasst nur die Entnahme der Materialien aus dem Lager.,Kommissionierung beinhaltet die Zusammenstellung von Materialien nach Kundenaufträgen.,Kommissionierung ist nur für den Warenausgang zuständig.,Kommissionierung erfolgt ausschließlich durch automatische Systeme.,Kommissionierung beinhaltet die Zusammenstellung von Materialien nach Kundenaufträgen.
Welche Technik wird für eine hohe Raumausnutzung in einem Lager empfohlen?,Bodenlager,Palettenregal,Fachbodenregal,Umlaufregal,Umlaufregal
Was ist der Hauptunterschied zwischen Verkehr und Transport?,"Verkehr bezieht sich auf den physischen Transport von Gütern, Transport auf die Planung.","Verkehr bezieht sich auf die Planung und Organisation, Transport auf die physische Durchführung.","Verkehr umfasst nur den Güterverkehr, Transport auch Personenverkehr.",Verkehr und Transport sind identische Begriffe.,"Verkehr bezieht sich auf die Planung und Organisation, Transport auf die physische Durchführung."
Welche Verkehrsträger gehören zum Güterverkehr über Land?,"Straße, Schiene, Luftwege","Straße, Schiene, Rohrleitungen","Straße, Schiene, Binnengewässer","Straße, Schiene, Seewege","Straße, Schiene, Rohrleitungen"
Welches der folgenden Kriterien ist ein Vorteil des Straßentransports?,Niedrige Kosten bei langen Strecken,Hohe Flexibilität und gute Erreichbarkeit,Geringer Aufwand bei der Abfertigung,Hohe Kapazität für Massentransporte,Hohe Flexibilität und gute Erreichbarkeit
Welches Transportmittel ist am ehesten von Wetterbedingungen abhängig?,Schiene,Straße,Binnenschifffahrt,Pipeline,Binnenschifffahrt
Was ist eine typische Aufgabe eines 3PL (Third Party Logistics Provider)?,Lagerhaltung und Transport,Planung und Steuerung von 2PL-Dienstleistern,Ausschließliche Durchführung von Transportaufgaben,Inhouse-Logistikaufgaben,Lagerhaltung und Transport
Was ist das Ziel der Produktion im Produktionsmanagement?,Reduzierung der Produktionskosten,Optimierung der Wertschöpfung,Maximierung des Materialeinsatzes,Minimierung der Maschinenlaufzeit,Optimierung der Wertschöpfung
Welche Dimensionen bilden das strategische Dreieck der Produktion?,"Kosten, Effizienz, Flexibilität","Zeit, Kosten, Qualität","Effektivität, Effizienz, Produktivität","Qualität, Flexibilität, Wirtschaftlichkeit","Zeit, Kosten, Qualität"
Was ist ein Merkmal der Effektivität im Produktionsmanagement?,Die Dinge richtig tun,Die richtigen Dinge tun,Die Produktionskosten senken,Den Materialeinsatz optimieren,Die richtigen Dinge tun
Welche Aufgaben fallen in den Bereich des taktischen Produktionsmanagements?,"Produktionsplanung, Materialbedarfsplanung, Personaleinsatzplanung","Prozessanalyse, Layoutplanung, Kapazitätsmanagement","Leistungstiefe, Produktionstechnologie, Produktionsstandorte","Qualitätsmanagement, Personalmanagement, Supply Chain Management","Prozessanalyse, Layoutplanung, Kapazitätsmanagement"
Was beschreibt die Produktivität im Produktionsmanagement?,Verhältnis von produzierter Stückzahl zu Einsatzkosten,Verhältnis von produzierter Stückzahl zu Einsatzmengen,Verhältnis von Ausbringungswert zu Einsatzkosten,Verhältnis von Einsatzkosten zu Ertrag,Verhältnis von produzierter Stückzahl zu Einsatzmengen
Welche Fertigungsstrategie beschreibt die Herstellung von Produkten erst nach Eingang einer Kundenbestellung?,Make to Stock (MTS),Make to Order (MTO),Assemble to Order (ATO),Configure to Order (CTO),Make to Order (MTO)
Was bedeutet der Order Penetration Point (OPP) im Produktionsprozess?,"Der Punkt, an dem die Fertigung beginnt.","Der Zeitpunkt, an dem ein Kundenauftrag erfasst wird.","Der Zeitpunkt, an dem die Bestellung ausgeliefert wird.","Der Punkt, an dem das Produkt auf Lager genommen wird.","Der Zeitpunkt, an dem ein Kundenauftrag erfasst wird."
"Welcher Fertigungstyp passt zu einem Unternehmen, das maßgeschneiderte Möbel nach Kundenwunsch entwickelt und produziert?",Make to Stock (MTS),Assemble to Order (ATO),Engineer to Order (ETO),Build to Order (BTO),Engineer to Order (ETO)
Welche Kombination beschreibt eine ABC-XYZ-Analyse für Artikel mit hohem Wertanteil und konstantem Verbrauch?,A-X,B-Y,C-Z,A-Y,A-X
Wie wird der Variationskoeffizient in einer XYZ-Analyse berechnet?,Mittelwert geteilt durch Standardabweichung,Standardabweichung geteilt durch Mittelwert,Summe geteilt durch die Anzahl der Werte,Maximum minus Minimum,Standardabweichung geteilt durch Mittelwert
Welche Phase gehört nicht zum Prozessmodell der Logistik?,Entwicklung,Produktion,After-Sales,Marketing,Marketing
Welches der folgenden Elemente ist Teil des Materialbedarfs durch Distribution?,Rohstoffe,Halberzeugnisse,Verpackungsmaterial,Fertigteile,Verpackungsmaterial
Welcher Organisationstyp der Produktion basiert auf dem Funktionsprinzip?,Fließfertigung,Gruppenfertigung,Werkstattfertigung,Baustellenfertigung,Werkstattfertigung
Welche Fertigungsmethode ist besonders geeignet für die Produktion großer Mengen identischer Produkte?,Fließfertigung,Werkstattfertigung,Baustellenfertigung,Einzel-/Montagefertigung,Fließfertigung
Welcher der folgenden Organisationstypen kombiniert die Effizienz der Fließfertigung mit der Flexibilität der Werkstattfertigung?,Baustellenfertigung,Projektfertigung,Gruppenfertigung,Prozessfertigung,Gruppenfertigung
Welches Ziel wird durch die Produktionsplanung und -steuerung (PPS) verfolgt?,Maximierung der Produktvielfalt,Minimierung der Stückkosten,Optimierung des Marketingbudgets,Erhöhung der Lagerbestände,Minimierung der Stückkosten
Was beschreibt der Begriff „Stückkosten“ in der Produktion?,Die Kosten für den Transport eines Produkts,Die Produktionskosten pro gefertigtem Stück,Die Gesamtkosten eines Produktionsprozesses,Die Kosten für die Lagerung von Produkten,Die Produktionskosten pro gefertigtem Stück
Welcher der folgenden Begriffe gehört nicht zur Absatzplanung?,Ermittlung der erwarteten Verkäufe,Planung der Produktionsmengen,Aggregation von Vertriebsdaten,Erstellung des Verkaufsplans,Planung der Produktionsmengen
Welche Funktion hat ein ERP-System im Vergleich zu einem PPS-System?,Es unterstützt die Mengenplanung und Terminplanung.,Es bietet eine gemeinsame Datenbasis für alle Unternehmensprozesse.,Es konzentriert sich ausschließlich auf die Produktionsplanung.,Es simuliert Produktionsprozesse in Echtzeit.,Es bietet eine gemeinsame Datenbasis für alle Unternehmensprozesse.
Welche der folgenden Aussagen beschreibt ein Merkmal von APS-Systemen?,Sie arbeiten unabhängig von anderen Partnern in der Supply Chain.,Sie synchronisieren sich mit den Partnern in der Supply Chain.,Sie sind hauptsächlich für die Lagerverwaltung konzipiert.,Sie verwenden eine starre und sequentielle Planungsmethode.,Sie synchronisieren sich mit den Partnern in der Supply Chain.
Was ist das Ziel der Produktionsplanung?,Reduzierung der Produktionskosten,Maximierung der Lagerbestände,Optimierung des Produktionsflusses,Erhöhung der Mitarbeiterzahl,Optimierung des Produktionsflusses
Was bedeutet der Entkopplungspunkt (Order Penetration Point) in der Produktionsplanung?,"Der Punkt, an dem die Fertigung startet","Der Zeitpunkt, an dem ein Kundenauftrag erfasst wird","Der Punkt, an dem Produkte in das Lager überführt werden","Der Zeitpunkt, an dem der Fertigungsauftrag abgeschlossen wird","Der Zeitpunkt, an dem ein Kundenauftrag erfasst wird"
Welche Methode beschreibt das „Holprinzip“ in der Produktionsplanung?,Push-Methode,Pull-Methode,Just-in-Time (JIT),Kaizen,Pull-Methode
Welche der folgenden Fertigungsstrategien basiert vollständig auf dem 'Push'-Prinzip?,Make to Stock (MTS),Engineer to Order (ETO),Assemble to Order (ATO),Build to Order (BTO),Make to Stock (MTS)
"Welche Fertigungsstrategie ist am besten geeignet für Produkte, die nach Kundenwunsch entwickelt und produziert werden?",Make to Stock (MTS),Assemble to Order (ATO),Engineer to Order (ETO),Build to Order (BTO),Engineer to Order (ETO)
Was ist ein Hauptvorteil der Pull-Strategie in der Produktion?,Hohe Lagerbestände,Hohe Flexibilität bei der Anpassung an Kundenwünsche,Niedrige Produktionskosten,Geringe Rüstzeiten,Hohe Flexibilität bei der Anpassung an Kundenwünsche
Welche der folgenden Methoden ist keine Pull-Methode in der Produktionsplanung?,Kanban,Conwip,Fortschrittszahlen,Vorwärtsterminierung,Vorwärtsterminierung
Welche Aufgabe gehört zur Produktionssteuerung?,Beschaffung von Vormaterialien,Soll-Ist-Vergleich und Reaktion auf Abweichungen,Entwicklung von Produktionsprozessen,Festlegung von Marktstrategien,Soll-Ist-Vergleich und Reaktion auf Abweichungen
Welche Maßnahme gehört nicht zum Störungsmanagement in der Produktion?,Umplanung der Produktionsreihenfolge,Einplanung von Zeitreserven,Senkung der Produktpreise,Vorbeugende Instandhaltung,Senkung der Produktpreise
